content_id,person_id,role_type
1,1,배우
1,2,배우
1,3,배우
1,4,배우
1,5,배우
1,6,감독
2,7,배우
2,8,배우
2,3,배우
2,9,배우
2,10,배우
2,11,감독
3,12,배우
3,13,배우
3,14,배우
3,15,배우
3,16,배우
3,17,감독
4,18,배우
4,19,배우
4,20,배우
4,21,배우
4,22,배우
4,17,감독
5,1,배우
5,23,배우
5,24,배우
5,25,배우
5,26,배우
5,6,감독
6,27,배우
6,28,배우
6,29,배우
6,30,배우
6,31,배우
6,17,감독
7,32,배우
7,33,배우
7,34,배우
7,35,배우
7,36,배우
7,37,감독
8,38,배우
8,39,배우
8,40,배우
8,41,배우
8,42,배우
8,43,감독
9,44,배우
9,45,배우
9,46,배우
9,47,배우
9,48,배우
9,49,감독
10,50,배우
10,1,배우
10,51,배우
10,52,배우
10,53,배우
10,6,감독
11,54,배우
11,55,배우
11,56,배우
11,57,배우
11,58,배우
11,59,감독
12,60,배우
12,61,배우
12,62,배우
12,63,배우
12,64,배우
12,65,감독
13,27,배우
13,12,배우
13,66,배우
13,67,배우
13,68,배우
13,69,감독
14,70,배우
14,71,배우
14,72,배우
14,73,배우
14,74,배우
14,75,감독
15,76,배우
15,77,배우
15,8,배우
15,78,배우
15,67,배우
15,79,감독
16,80,배우
16,81,배우
16,82,배우
16,83,배우
16,22,배우
16,84,감독
17,85,배우
17,86,배우
17,87,배우
17,88,배우
17,89,배우
17,17,감독
18,90,배우
18,91,배우
18,92,배우
18,93,배우
18,94,배우
18,95,감독
19,96,배우
19,3,배우
19,97,배우
19,98,배우
19,99,배우
19,11,감독
20,12,배우
20,100,배우
20,10,배우
20,101,배우
20,102,배우
20,103,감독
21,104,배우
21,87,배우
21,82,배우
21,105,배우
21,106,배우
21,107,감독
22,108,배우
22,32,배우
22,109,배우
22,110,배우
22,111,배우
22,112,감독
23,1,배우
23,26,배우
23,86,배우
23,113,배우
23,114,배우
23,6,감독
24,3,배우
24,115,배우
24,116,배우
24,117,배우
24,118,배우
24,119,감독
25,120,배우
25,121,배우
25,122,배우
25,123,배우
25,124,배우
25,125,감독
26,126,배우
26,127,배우
26,128,배우
26,129,배우
26,130,배우
26,65,감독
27,20,배우
27,131,배우
27,76,배우
27,132,배우
27,133,배우
27,134,감독
28,135,배우
28,136,배우
28,137,배우
28,138,배우
28,139,배우
28,140,감독
29,141,배우
29,142,배우
29,143,배우
29,144,배우
29,145,배우
29,146,감독
30,120,배우
30,147,배우
30,148,배우
30,149,배우
30,150,배우
30,151,감독
31,152,배우
31,153,배우
31,154,배우
31,155,배우
31,156,배우
31,157,감독
32,104,배우
32,158,배우
32,55,배우
32,159,배우
32,160,배우
32,161,감독
33,162,배우
33,136,배우
33,163,배우
33,164,배우
33,165,배우
33,166,감독
34,122,배우
34,167,배우
34,168,배우
34,169,배우
34,170,배우
34,171,감독
35,38,배우
35,172,배우
35,173,배우
35,174,배우
35,175,배우
35,176,감독
36,1,배우
36,177,배우
36,10,배우
36,178,배우
36,179,배우
36,180,감독
37,181,배우
37,182,배우
37,183,배우
37,184,배우
37,185,배우
37,186,감독
38,187,배우
38,20,배우
38,188,배우
38,90,배우
38,189,배우
38,190,감독
39,20,배우
39,76,배우
39,132,배우
39,141,배우
39,115,배우
39,134,감독
40,141,배우
40,191,배우
40,192,배우
40,193,배우
40,194,배우
40,195,감독
41,178,배우
41,196,배우
41,19,배우
41,197,배우
41,198,배우
41,199,감독
42,200,배우
42,12,배우
42,201,배우
42,202,배우
42,203,배우
42,17,감독
43,204,배우
43,205,배우
43,206,배우
43,47,배우
43,207,배우
43,208,감독
44,209,배우
44,204,배우
44,35,배우
44,210,배우
44,211,배우
44,6,감독
45,212,배우
45,213,배우
45,214,배우
45,215,배우
45,216,배우
45,217,감독
46,1,배우
46,160,배우
46,113,배우
46,218,배우
46,219,배우
46,17,감독
47,220,배우
47,221,배우
47,222,배우
47,223,배우
47,224,배우
47,225,감독
48,38,배우
48,67,배우
48,226,배우
48,227,배우
48,35,배우
48,176,감독
49,27,배우
49,20,배우
49,141,배우
49,63,배우
49,228,배우
49,229,감독
49,230,감독
50,231,배우
50,19,배우
50,10,배우
50,162,배우
50,232,배우
50,233,감독
51,114,배우
51,234,배우
51,235,배우
51,236,배우
51,237,배우
51,238,감독
52,239,배우
52,197,배우
52,231,배우
52,87,배우
52,240,배우
52,43,감독
53,239,배우
53,44,배우
53,30,배우
53,40,배우
53,241,배우
53,242,감독
54,243,배우
54,244,배우
54,245,배우
54,246,배우
54,247,배우
54,248,감독
55,86,배우
55,249,배우
55,182,배우
55,250,배우
55,251,배우
55,252,감독
56,196,배우
56,241,배우
56,253,배우
56,254,배우
56,255,배우
56,256,감독
57,200,배우
57,27,배우
57,1,배우
57,257,배우
57,160,배우
57,17,감독
58,2,배우
58,76,배우
58,47,배우
58,183,배우
58,258,배우
58,259,감독
59,86,배우
59,182,배우
59,100,배우
59,260,배우
59,261,배우
59,262,감독
60,263,배우
60,12,배우
60,172,배우
60,264,배우
60,265,배우
60,262,감독
61,1,배우
61,104,배우
61,113,배우
61,266,배우
61,267,배우
61,268,감독
62,269,배우
62,270,배우
62,271,배우
62,10,배우
62,141,배우
62,242,감독
63,80,배우
63,272,배우
63,97,배우
63,273,배우
63,274,배우
63,275,감독
64,133,배우
64,12,배우
64,239,배우
64,221,배우
64,173,배우
64,37,감독
65,147,배우
65,122,배우
65,276,배우
65,277,배우
65,72,배우
65,171,감독
66,278,배우
66,279,배우
66,280,배우
66,281,배우
66,282,배우
66,283,감독
67,27,배우
67,284,배우
67,285,배우
67,286,배우
67,287,배우
67,288,감독
68,284,배우
68,266,배우
68,289,배우
68,74,배우
68,290,배우
68,291,감독
69,20,배우
69,187,배우
69,292,배우
69,293,배우
69,294,배우
69,190,감독
70,295,배우
70,296,배우
70,297,배우
70,298,배우
70,299,배우
70,300,감독
71,269,배우
71,301,배우
71,302,배우
71,303,배우
71,304,배우
71,305,감독
72,306,배우
72,307,배우
72,308,배우
72,309,배우
72,310,배우
72,311,감독
73,12,배우
73,250,배우
73,21,배우
73,35,배우
73,87,배우
73,252,감독
74,86,배우
74,270,배우
74,210,배우
74,312,배우
74,313,배우
74,314,감독
75,263,배우
75,133,배우
75,315,배우
75,316,배우
75,117,배우
75,317,감독
76,133,배우
76,44,배우
76,63,배우
76,318,배우
76,319,배우
76,133,감독
77,320,배우
77,321,배우
77,322,배우
77,323,배우
77,324,배우
77,325,감독
78,181,배우
78,326,배우
78,327,배우
78,328,배우
78,128,배우
78,329,감독
79,330,배우
79,173,배우
79,331,배우
79,332,배우
79,333,배우
79,334,감독
80,250,배우
80,335,배우
80,162,배우
80,336,배우
80,136,배우
80,291,감독
81,337,배우
81,338,배우
81,339,배우
81,340,배우
81,341,배우
81,342,감독
82,80,배우
82,343,배우
82,344,배우
82,345,배우
82,220,배우
82,346,감독
83,55,배우
83,347,배우
83,348,배우
83,349,배우
83,350,배우
83,351,감독
84,352,배우
84,64,배우
84,353,배우
84,24,배우
84,354,배우
84,355,감독
85,356,배우
85,152,배우
85,47,배우
85,72,배우
85,357,배우
85,358,감독
86,359,배우
86,360,배우
86,361,배우
86,362,배우
86,2,배우
86,363,감독
87,239,배우
87,30,배우
87,21,배우
87,76,배우
87,280,배우
87,364,감독
88,191,배우
88,142,배우
88,277,배우
88,365,배우
88,366,배우
88,367,감독
89,181,배우
89,10,배우
89,40,배우
89,309,배우
89,368,배우
89,369,감독
90,263,배우
90,80,배우
90,353,배우
90,45,배우
90,354,배우
90,275,감독
91,187,배우
91,38,배우
91,370,배우
91,371,배우
91,260,배우
91,43,감독
92,352,배우
92,131,배우
92,372,배우
92,373,배우
92,374,배우
92,375,감독
93,141,배우
93,173,배우
93,207,배우
93,106,배우
93,376,배우
93,377,감독
94,378,배우
94,192,배우
94,379,배우
94,380,배우
94,381,배우
94,125,감독
95,382,배우
95,160,배우
95,295,배우
95,383,배우
95,118,배우
95,283,감독
96,80,배우
96,61,배우
96,384,배우
96,385,배우
96,277,배우
96,386,감독
97,80,배우
97,152,배우
97,47,배우
97,63,배우
97,387,배우
97,275,감독
98,272,배우
98,93,배우
98,388,배우
98,389,배우
98,390,배우
98,391,감독
99,392,배우
99,393,배우
99,394,배우
99,395,배우
99,396,배우
99,397,감독
100,1,배우
100,382,배우
100,22,배우
100,160,배우
100,398,배우
100,17,감독
101,3,배우
101,399,배우
101,257,배우
101,400,배우
101,312,배우
101,59,감독
102,401,배우
102,41,배우
102,294,배우
102,335,배우
102,10,배우
102,402,감독
103,19,배우
103,272,배우
103,403,배우
103,404,배우
103,405,배우
103,406,감독
104,178,배우
104,407,배우
104,408,배우
104,409,배우
104,281,배우
104,107,감독
105,38,배우
105,410,배우
105,221,배우
105,411,배우
105,158,배우
105,412,감독
106,197,배우
106,326,배우
106,413,배우
106,414,배우
106,415,배우
106,416,감독
107,417,배우
107,207,배우
107,210,배우
107,362,배우
107,418,배우
107,419,감독
108,392,배우
108,393,배우
108,394,배우
108,395,배우
108,396,배우
108,420,감독
108,421,감독
109,422,배우
109,241,배우
109,327,배우
109,423,배우
109,424,배우
109,425,감독
110,28,배우
110,426,배우
110,83,배우
110,427,배우
110,428,배우
110,351,감독
111,429,배우
111,430,배우
111,431,배우
111,432,배우
111,433,감독
112,28,배우
112,434,배우
112,435,배우
112,414,배우
112,10,배우
112,436,감독
113,158,배우
113,437,배우
113,422,배우
113,438,배우
113,72,배우
113,37,감독
114,178,배우
114,19,배우
114,196,배우
114,335,배우
114,198,배우
114,199,감독
115,104,배우
115,39,배우
115,422,배우
115,439,배우
115,162,배우
115,440,감독
116,187,배우
116,441,배우
116,442,배우
116,370,배우
116,443,배우
116,252,감독
117,1,배우
117,27,배우
117,44,배우
117,210,배우
117,444,배우
117,69,감독
118,120,배우
118,88,배우
118,445,배우
118,446,배우
118,447,배우
118,448,감독
119,239,배우
119,133,배우
119,39,배우
119,449,배우
119,450,배우
119,451,감독
120,452,배우
120,453,배우
120,77,배우
120,454,배우
120,455,배우
120,37,감독
121,352,배우
121,20,배우
121,133,배우
121,435,배우
121,21,배우
121,199,감독
122,212,배우
122,221,배우
122,312,배우
122,456,배우
122,457,배우
122,458,감독
123,459,배우
123,460,배우
123,434,배우
123,461,배우
123,462,배우
123,463,감독
124,80,배우
124,44,배우
124,326,배우
124,15,배우
124,464,배우
124,229,감독
124,465,감독
125,187,배우
125,466,배우
125,133,배우
125,352,배우
125,467,배우
125,199,감독
126,21,배우
126,178,배우
126,96,배우
126,422,배우
126,276,배우
126,468,감독
127,469,배우
127,470,배우
127,309,배우
127,81,배우
127,471,배우
127,107,감독
128,472,배우
128,354,배우
128,473,배우
128,365,배우
128,474,배우
128,238,감독
129,475,배우
129,22,배우
129,476,배우
129,15,배우
129,477,배우
129,478,감독
130,133,배우
130,479,배우
130,480,배우
130,481,배우
130,482,배우
130,483,감독
131,100,배우
131,484,배우
131,40,배우
131,485,배우
131,486,배우
131,262,감독
132,231,배우
132,285,배우
132,487,배우
132,488,배우
132,427,배우
132,233,감독
133,104,배우
133,489,배우
