title,content_type,genre_ids,release_date,vote_average,vote_count,popularity,tmdb_id
기생충,영화,"[35, 53, 18]",2019-05-30,8.49,21159,41.002,496243
인간중독,영화,"[18, 10749]",2014-05-14,6.7,82,23.1277,269955
올드보이,영화,"[53, 9648]",2003-11-21,8.236,10121,20.9255,670
아가씨,영화,"[53, 18, 10749]",2016-06-01,8.176,4450,21.1453,290098
살인의 추억,영화,"[80, 18, 53]",2003-04-25,8.061,4759,18.2977,11423
어쩔수가없다,영화,"[35, 80, 53]",2025-09-24,7.515,1237,15.8579,639988
마녀 2,영화,"[28, 9648, 53, 878]",2022-06-15,7.4,467,14.6677,615173
휴민트,영화,"[53, 28, 18]",2026-02-11,7.477,177,15.2889,1268127
마담 뺑덕,영화,"[53, 18, 10749]",2014-10-02,6.113,71,12.4331,287649
설국열차,영화,"[28, 878, 18]",2013-08-01,6.908,10606,12.8143,110415
곤지암,영화,"[27, 9648]",2018-03-28,7.261,984,10.1382,508642
대홍수,영화,"[878, 12, 18]",2025-09-18,5.977,755,10.0094,982843
악마를 보았다,영화,"[53, 27]",2010-08-12,7.806,3120,10.3269,49797
늑대사냥,영화,"[28, 53, 27, 80]",2022-09-21,6.436,451,10.3039,799379
간신,영화,"[18, 36, 80]",2015-05-21,6.092,92,10.3132,338803
소원,영화,[18],2013-10-02,8.386,905,10.7522,255709
헤어질 결심,영화,"[53, 9648, 10749]",2022-06-29,7.317,1593,11.0745,705996
20세기 소녀,영화,"[10749, 18]",2022-10-06,8.179,854,10.4791,851644
방자전,영화,"[10749, 18, 35]",2010-06-02,5.671,41,10.0309,50727
파묘,영화,"[9648, 27, 53]",2024-02-22,7.649,787,10.6208,838209
반도,영화,"[27, 28, 53, 12]",2020-07-15,6.7,2646,10.678,581392
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",영화,"[10749, 18]",2025-12-24,8.453,222,8.2943,1466115
괴물,영화,"[27, 18, 878]",2006-07-27,6.977,3216,7.3649,1255
후궁: 제왕의 첩,영화,[18],2012-06-06,5.809,115,8.5369,122126
버닝,영화,"[9648, 18, 53]",2018-05-17,7.378,1870,8.0111,491584
전지적 독자 시점,영화,"[28, 12, 14]",2025-07-23,7.048,105,8.7458,1131759
신과함께-죄와 벌,영화,"[28, 12, 18, 14, 53]",2017-12-20,8.044,1229,7.8605,397567
고백의 역사,영화,"[10749, 18, 35]",2025-08-28,8.269,227,7.6863,1355666
황야,영화,"[28, 12, 53]",2024-01-26,6.736,826,8.0438,933131
#살아있다,영화,"[28, 27, 878]",2020-06-24,7.204,2103,7.1333,614696
