person_id,tmdb_person_id,person_name
1,20738,송강호
2,115290,이선균
3,556435,조여정
4,1255881,최우식
5,1442583,박소담
6,21684,봉준호
7,83020,송승헌
8,1329984,임지연
9,84980,온주완
10,84996,유해진
11,1296327,김대우
12,64880,최민식
13,10112,유지태
14,1299317,강혜정
15,77182,김병옥
16,77180,지대한
17,10099,박찬욱
18,123664,김민희
19,1537768,김태리
20,75913,하정우
21,138336,조진웅
22,93252,김해숙
23,69378,김상경
24,69379,김뢰하
25,1080904,송재호
26,116180,변희봉
27,25002,이병헌
28,86889,손예진
29,93999,박희순
30,141548,이성민
31,2084416,염혜란
32,2896274,신시아
33,1134684,박은빈
34,1882314,서은수
35,1299287,진구
36,1520280,성유빈
37,557736,박훈정
38,127564,조인성
39,571172,박정민
40,1292971,박해준
41,126348,신세경
42,1464090,로버트 마서
43,86325,류승완
44,17120,정우성
45,929122,이솜
46,1276894,Park So-young
47,550683,김희원
48,2520786,김남진
49,94003,임필성
50,16828,크리스 에반스
51,228,에드 해리스
52,5049,존 허트
53,3063,틸다 스윈튼
54,1557181,위하준
55,1988598,박지현
56,1181895,오아연
57,1993728,문예원
58,1140210,박성훈
59,112018,정범식
60,2053219,김다미
61,1593672,박해수
62,3957235,권은성
63,150126,전혜진
64,564844,박병은
65,1293082,김병우
66,20264,전국환
67,87090,천호진
68,1340711,오산하
69,69081,김지운
70,1255411,서인국
71,1713025,장동윤
72,1872629,박호산
73,1252017,정소민
74,150697,고창석
75,1294527,김홍선
76,150125,주지훈
77,84751,김강우
78,1246517,이유영
79,150150,민규동
80,85008,설경구
81,1299243,엄지원
82,1299244,이레
83,123820,김상호
84,126809,이준익
85,38280,탕웨이
86,21687,박해일
87,1244822,이정현
88,1257601,고경표
89,17124,박용우
90,140335,김유정
91,2117890,변우석
92,2377671,박정우
93,3218480,노윤서
94,1806235,김성경
95,2378215,Bang Woo-ri
96,123766,김주혁
97,88876,류승범
98,143541,류현경
99,1299516,송새벽
100,1067849,김고은
101,2341408,이도현
102,2307963,김재철
103,1544991,장재현
104,83014,강동원
105,554945,권해효
106,573792,김민재
107,939147,연상호
108,2959217,추영우
109,3128211,조유정
110,2595111,진호은
111,1203792,조한철
112,3510464,김혜영
113,21688,배두나
114,21689,고아성
115,118976,김동욱
116,1257594,김민준
117,1673497,박지영
118,1080933,조은지
119,132177,김대승
120,572225,유아인
121,215055,스티븐 연
122,1937533,전종서
123,2043067,김수경
124,1703282,최승호
125,96657,이창동
126,1571598,안효섭
127,1245104,이민호
128,1466233,채수빈
129,2353469,신승호
130,1523043,나나
131,63442,차태현
132,1128106,김향기
133,73249,이정재
134,84969,김용화
135,1576065,신은수
136,1333031,공명
137,3186373,차우민
138,3711571,윤상현
139,1875646,강미나
140,2648790,남궁선
141,1024395,마동석
142,1904058,이준영
143,1046863,이희준
144,1257587,노정의
145,2121601,안지혜
146,2879867,허명행
147,1156197,박신혜
